,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability
 Inventory/Working Capital,0.11174692780299081,0.026293035105012824,0.045909027067567644,0.0508324898588091,0.006700529595289333,0.006186978211742288,-0.024929771389523403,0.004912858632926343,0.021156436294293705,0.019785841214390695,0.02084802402608469,0.0732306774026554,0.03551706291103103,-0.0702492470227696,-0.02029864926550702,-0.19925171535930156,0.02752586353597103,0.02752586353597103,0.023058852104943402,0.06254405211675881,0.004465555433525842,-0.026884177516372062,-0.012481999670399804,0.03811943171252736,-0.0029682460194372005,0.06517967438059825,-0.006089394636067245,-0.0057210415240908094,0.09214465994403385,-0.12241698194831291,0.054291169839894335,0.1034605224417479,0.0076566810684594155,-0.1453191770181885,-0.1626261127201313,0.03363692266551311,-0.06577578583403329,-0.0012513375091572573,0.0012513375091565782,0.004819309906693493,-0.0014348348738032566,0.038955347654125456,-0.012510962494110232,0.03823160548109832,-0.05239537277720462,-0.010530202549297615,0.17330920021815388,-0.20947918202642637,0.0751863211508594,-0.121880060273469,-0.0498283654569594,0.1781286614182304,0.1660834563353382,0.11925962516623691,-0.06847075039732355,-0.21948806634689405,-0.18471705592320914,-0.14687863724839456,-0.16944196348863944,-0.01772727471471654,-0.10109363947018467,-0.0631695613308501,1.0,-0.029273240624591947,-0.11180104957684353,-0.012092624334365547,-0.02082227361262462,0.17430287639229874,-0.02167160481701969,0.07417592115435026,-0.057225664748109334,0.006381893064003389,-0.023412650719844854,-0.02922855814319564,-0.05526676130733844,0.01603708489926169,0.010324350766573032,-0.11180104957684353,-0.02082227361262462,0.08136717469666573,-0.03321979196925073,-0.05333641689185135,-2.2097030947706453e-05,0.04701793554918494,0.014916475160559342,-0.04047586380194214,0.04828704585883152,0.1409989630926881,-0.04436338098911081,0.006691356585191485,-0.031573724932990446,0.008470354173560285,0.33618822233060197,0.04490065535976256,,-0.07606031071015909
 Inventory/Current Liability,-0.27586777245131316,0.30879251727564233,0.2889085178139428,0.29231929565822784,0.012381569863050983,0.011744085354210874,0.220201819694041,0.18755257107028064,0.1678067105100696,0.10976582230379797,0.14287844078345419,0.0015542760770804742,0.11252345890522948,0.5491505598305235,-0.0801383307814939,0.26098864566884,0.37058022943259583,0.37058022943259583,0.38765423124098947,0.3044329906668604,0.2976879157420571,-0.00754353043109525,0.20803538994777754,0.3133983081271295,-0.0313769116264194,0.05135021143221795,0.009201197038877448,0.010278405739412822,0.047317614882568776,0.11630656092538115,0.3147758113456228,0.1358187535146604,0.3038861075217106,0.715612295275404,0.46864274833808334,-0.09119537918780192,-0.35371481904039215,-0.5135266246547195,0.5135266246547199,0.1522048589724691,-0.11677690457702795,-0.07211568132264379,0.20978941632907933,0.3259754565324689,0.0824880416835485,0.11056106076505728,-0.004034670447476556,0.07012369154266945,0.2382650735221459,-0.15604346566708552,-0.17034715906532688,0.06875276883327992,0.27897225091108485,0.04151760200870892,0.672255899443878,0.00861121576241383,0.23556000354049864,0.02882722531867665,0.4915859871601917,0.14153930096619768,-0.5083930023422445,0.5418369039308373,-0.029273240624591947,1.0,-0.20100378522214002,0.37712609517959705,-0.08498039917932038,-0.1579404276278584,0.34666061811786786,0.36279394858797287,-0.17783452295171664,-0.0753716021331817,0.07171172114436422,0.4888797144069067,0.10333857070104323,0.1458027943551005,-0.11216362948090185,-0.20100378522214002,-0.08498039917932038,-0.02137098490197616,0.13907568745205676,0.20809198514737492,0.4102385710310286,0.20581945135020574,-0.6590820440218611,-0.1375399592451355,0.3261111695086138,-0.11361951155661694,0.32998745815196234,0.012354529313426522,-0.08743334428507879,-0.08813527036177052,-0.10905009708314979,0.08960549470116584,,0.46973910156654874
 Current Liabilities/Liability,0.192011348590985,-0.017421526216363736,-0.09009612763834289,-0.04022755451229263,-0.2565297454221523,-0.2565598706742553,-0.06336439760421182,-0.055819417627801,-0.06569723984357653,-0.033841785476175036,-0.016364248837977966,0.21074272359933827,-0.39854183528523174,-0.27287701734550385,0.32446598742374994,0.08251625607472507,-0.14036170957101607,-0.14036170957101607,-0.1517434552238585,-0.07534613200290768,-0.04520975289900491,0.4163286988640597,0.036972131591780893,-0.0770679918565849,-0.07411817245470403,-0.14763598660652233,-0.12415237261015573,-0.12456651551944099,-0.12189678432803851,0.177641472801668,-0.10364475078102067,-0.05544888394250494,-0.08724145590806681,-0.17464662051916374,-0.1400651957967851,0.09191259210714176,0.11413707192234031,0.013299229718372182,-0.013299229718373537,-0.1980774446886789,-0.004517192921116749,-0.12436512750651942,0.03342802732805111,-0.08084865750332004,0.203722968235846,0.4487964756683299,-0.08955943353292851,0.09601311280092428,-0.19580641713348204,-0.29839920546685755,0.40786859094432204,0.15572106335338892,-0.0766139623413416,-0.1386759818454312,-0.023190620553545177,0.5599761346365439,0.5670279818846677,0.31996939541541175,-0.1372133723231652,-0.07178799694990823,0.5646001022247141,0.13678042879685512,-0.11180104957684353,-0.20100378522214002,1.0,-0.045975563971447,0.08983286342174066,-0.591069064794209,-0.08334075103877335,-0.08455953218937241,0.14101126989733243,0.050464410008593565,4.8802379897775e-05,-0.13282089690308016,0.1190708892199277,0.13865628234382785,0.1312436129047058,1.0,0.08983286342174066,-0.31144386655798173,0.07935228693700792,0.10115874204407448,-0.03409937203624633,-0.0874268192517283,0.14454928631078542,0.08392462020026852,-0.10217667653089206,-0.4782442141674924,-0.001939376637022469,-0.25655279045259294,0.06810752386680934,-0.03753627090600869,-0.10630578527997868,0.1173722737187306,,0.1718236848423749
 Working Capital/Equity,-0.282056755451786,-0.2310906972253948,-0.29359550906503956,-0.26127731577526675,0.03185260375456071,0.031344890139158886,0.07575038010012386,-0.029375161242540075,-0.04137163038624118,-0.07806426233536709,-0.04124336853594302,0.032135731946297534,-0.013454672448764847,0.19870747588828655,-0.17872076113932917,0.21187668147719319,0.2137621336940792,0.2137621336940792,0.23706688904139778,-0.12007608785234107,0.07564824764924863,0.14819439604457235,0.03748735241129192,-0.1298934148290476,-0.0523763827978691,-0.0974837036339838,-0.13729338674588357,-0.13497787859533023,-0.3565879418495125,0.28124554478439046,-0.14293780161592273,-0.5132108975256463,-0.19534946854179064,0.47514291142062826,0.42111944462781614,-0.26513931492640236,0.19791936837690047,-0.2519558669990716,0.25195586699907163,0.14541234720016985,-0.8162860529995626,-0.5055228740160507,0.04127812271407761,-0.10548956209941825,-0.5449305040442642,0.3217746339708888,-0.07848161531592172,0.08148938218285173,0.018621848327416698,-0.14066616610484475,0.23188774752300517,0.024649670060587933,0.021297599825360346,-0.07538300812621801,0.6306507042959102,0.4837469887795583,0.4819764954826629,0.425927512427168,0.441302258125999,0.18790163649016764,-0.22868164311785083,0.19387314327307514,-0.012092624334365547,0.37712609517959705,-0.045975563971447,1.0,-0.7925415723695397,-0.1691468529604579,0.06230949968704294,0.15175059747448577,0.3072845045611375,-0.06218343553053893,-0.0869563939407639,0.49738533505964017,0.23380050770975797,0.22414687407565084,-0.24919405943079603,-0.045975563971447385,-0.7925415723695397,-0.6223687402379613,0.45667742684944646,0.242973189971369,0.09837970149637977,-0.47068755651809385,-0.6615535718659162,0.5781738511944848,-0.2135807674178819,-0.07223762959836177,0.4228486958224009,0.03183106009471058,0.6388465653317733,-0.7869230930630327,-0.10519133559582858,0.04077044663684804,,0.2601998095526418
 Current Liabilities/Equity,0.03684485200005237,0.5764766813180398,0.6269836910985506,0.6104962880474452,-0.059434842208060064,-0.059310751298275496,0.07908475528074087,0.0965402319698329,0.1109598331366152,0.07548842448281615,0.0975122792955726,0.07913243913740883,-0.0799409336582025,-0.1055723472839781,0.17990577474344888,-0.012312966958660118,0.15913601834219634,0.15913601834219634,0.16178941975883995,0.44703776188572325,0.03901679923537218,0.04587786369712189,0.23675839664636716,0.42836973286265106,0.06055620227270219,0.09081487189704536,0.08739804635539954,0.08597417702114299,0.4547659637275884,-0.152975067757024,0.49299291711787196,0.8107063597336898,0.414945621170183,-0.15735568993174906,-0.1541870852609326,0.15074211347569416,-0.5621912505418782,0.009799431166383562,-0.009799431166383732,-0.07626832503086227,0.981362907994619,0.500021220052214,0.2313231984186443,0.4117364628408741,0.9041986562287861,-0.1350322420560451,0.03402465405216767,-0.00437925222041881,-0.04618312259534698,-0.0008224896186437606,-0.3114067293562499,-0.007732190375697083,0.17522115985344391,0.12636837069851647,-0.12461668030714648,-0.17776968813457483,-0.10259294235487841,-0.3504158958631001,-0.16213801194130062,0.04837669264593694,0.03819242092445746,-0.06499026973943939,-0.02082227361262462,-0.08498039917932038,0.08983286342174066,-0.7925415723695397,1.0,-0.03531374791297758,0.2858854321541023,-0.004596508707082853,-0.5264370130531288,-0.043422462709389646,-0.054472930983466956,-0.08407838363812477,-0.28548489646537956,-0.19395247641574395,0.15709058165150808,0.08983286342174084,1.0,0.7975865279371979,-0.482578179736246,-0.16855438048279278,0.06602753403567142,0.8018295320988527,0.22072571756554168,-0.8931681544486673,0.5591385563575189,-0.008365902486333916,-0.17620578319295285,-0.05941992010980293,-0.9225559944434937,0.9853762216082956,0.04455332047779208,0.009993647211324378,,-0.13043458829495214
 Long-term Liability to Current Assets,0.009532844804075702,-0.08539386521262987,-0.0004207304483706509,-0.061624934413443015,0.04165478314867935,0.04209176812491389,-0.12828859822370148,-0.03928539441324455,-0.008283231945958713,0.02232032284906051,-0.060455835483459446,-0.09475019066578635,0.3429543966000456,-0.11555944285415007,-0.05168607821697572,-0.2794594289999469,-0.12253515105878555,-0.12253515105878555,-0.12701820001133934,-0.046672792715526885,-0.07886385401738111,-0.28386705044321564,-0.14664324525636574,-0.030062183573384537,0.13181531310142588,0.06701909085577704,0.041354276122552894,0.040819199766948394,0.02893864783562407,-0.2660811475884897,-0.047920431454930024,-0.017978622131984933,-0.05494039982597321,-0.33793531192058585,-0.35591869208770033,-0.07567308469668398,0.03816961282984712,0.17442022288544948,-0.174420222885449,0.21296959280208141,0.10666959350123321,0.31128257648677693,-0.14385298136863464,-0.033244377991726,-0.1774410276719409,-0.32504597943323466,0.17828032884456613,-0.1781163198908073,0.16887582019094252,0.030357826087550218,-0.2221390400268279,-0.08815762291332295,-0.05690646019591303,0.06179719742577777,-0.3057070982076344,-0.5635807436552294,-0.5936108576944336,-0.3373501608096918,-0.35804386164886737,-0.05972347594441529,-0.23153835212243784,-0.20410537928389844,0.17430287639229874,-0.1579404276278584,-0.591069064794209,-0.1691468529604579,-0.03531374791297758,1.0,-0.059532700991079525,-0.045842929113123515,-0.10288883923943036,-0.005834448065484651,0.030811546144559877,-0.22804255448811103,-0.23173299758899452,-0.08059998359390681,-0.11621843053184885,-0.5910690647942088,-0.035313747912977596,0.41384757689543095,-0.0875176739436432,-0.11604157800936085,-0.11480798638500007,0.0050998798788731495,0.27609042807086803,-0.017163032840135085,-0.01645215341254061,0.7871932961313268,-0.3179078028482442,0.04167754823121733,-0.019219077936823932,0.0629116195626693,0.012985396037563322,-0.16666030826276979,,-0.2454059220174199
 Retained Earnings to Total Assets,-0.6634054192606266,0.7912328546145266,0.795787340027495,0.7825772244300725,0.24491260042063787,0.24465481224063182,0.5529750344963718,0.6936342377030306,0.686381968043831,0.550063551235241,0.6437875524036846,0.015101221070065517,0.158005701301978,0.40437578622821874,-0.155231942551107,0.4193102814371386,0.8963336993096527,0.8963336993096527,0.8661586828146627,0.8097883609036219,0.47753361969312563,-0.001219219256028724,0.5739512929487333,0.8283513128114913,-0.303159090229348,0.006068494258326635,0.1826444625235843,0.18648794566462318,0.3282450216043829,0.21458825821473457,0.784327892270204,0.5959730943425392,0.554953268303902,0.4171517903862483,0.37920214385744005,-0.16735772036246163,-0.8002961905549411,-0.7313250541508206,0.7313250541508213,0.37600663094522285,0.24869710305549828,-0.03461677464743184,0.5705365983413668,0.828244243395875,0.3048078334979823,-0.04065180206166911,-0.07427490277595412,0.135240187221869,0.14261514330447833,-0.040405886998245495,-0.474116119744263,-0.049867663190668446,0.5179657420253158,-0.15552455922684402,0.5469188412604991,-0.045392140951080594,-0.02230976087133466,0.010976861408827665,0.3812030655767701,-0.13584360680252008,-0.6171084562364273,0.3784012709867525,-0.02167160481701969,0.34666061811786786,-0.08334075103877335,0.06230949968704294,0.2858854321541023,-0.059532700991079525,1.0,0.6523071489844239,-0.4990766212489144,-0.15642132385407467,-0.1697804874659687,0.21485499559071114,-0.03911728095876692,-0.030057002162472674,-0.1133744787098801,-0.08334075103877304,0.28588543215410284,0.31712656954323787,-0.1074112204356642,0.03892710580908351,0.4965639415422817,0.603486266633726,-0.6195523339862526,-0.5771817235583805,0.8202830800437204,0.016240084608741257,0.2910917659681271,0.24492353394299163,-0.4793015342525338,0.2443771707942184,-0.0688355431881861,0.05580506222340636,,0.4938740447410444
 Total income/Total expense,-0.6019516713128209,0.6218942856383809,0.6245398308886629,0.5973496310411598,0.20513505340927948,0.2044672885136304,0.6194106688856568,0.8049230156118438,0.799955294503562,0.6506212478089802,0.7233016092785427,0.013883762529004962,0.2665936937062035,0.45013099232093867,-0.04719398134691451,0.29499277855076145,0.6818272234266,0.6818272234266,0.6513199201268273,0.6667606425065922,0.43422623384559433,0.056960218504592666,0.5674176477850819,0.6996376738070921,-0.021096302796717176,0.0728595499892039,0.14748730050466452,0.14842967199590926,0.2356497648675554,0.16908742725398754,0.6452672395167932,0.3247917019599494,0.3418590969966397,0.3636905419592057,0.30265181768210825,0.10617104314780197,-0.43641010588381096,-0.5821575094180093,0.5821575094180097,0.4039404829514814,-0.03133203092332594,-0.14036359438270543,0.5689120425198084,0.7085424714449381,0.022550184066245975,0.046667077637407156,0.04795094356042109,0.055548576789751385,0.06639915943679199,-0.0903568257452281,-0.19891281205410133,0.1762037909627128,0.6640394364202064,-0.06045428560120231,0.3932303290962674,-0.06558014975913894,-0.057516758857737764,0.04290429129401644,0.30808522826585305,-0.1675595233464568,-0.4831465336416554,0.43918335370190714,0.07417592115435026,0.36279394858797287,-0.08455953218937241,0.15175059747448577,-0.004596508707082853,-0.045842929113123515,0.6523071489844239,1.0,-0.3446096423778003,-0.14075134121774238,-0.147145558223263,0.1208280431196995,-0.07503270028169877,0.06089451165814417,-0.13121996340995065,-0.08455953218937252,-0.004596508707082714,0.03754844558063114,0.07609625748775949,0.06790994703854586,0.43579405870009175,0.28356999295173607,-0.48282223015001896,-0.2144563083507081,0.6634351515147894,-0.0034188058359218066,0.3506190451441424,0.2051227669148,-0.09915256767716844,-0.03405959882080776,-0.03537880644087196,0.08595640119833675,,0.4979810598399634
 Total expense/Assets,0.1892504501300623,-0.5579659007951691,-0.6244334219979422,-0.5952206186937008,0.44122943484260946,0.44158926992319836,0.036395752120237275,-0.3117238500790561,-0.33880390457389115,-0.40434770894536815,-0.2871677566847417,-0.24171673004117405,-0.05887646092533907,-0.1332875576294508,-0.030306696359972643,0.050551967167721645,-0.4792348337493687,-0.4792348337493687,-0.4739730025829413,-0.5575786821386999,-0.1287375550716956,0.1041241012082399,-0.10762681385876842,-0.540355097926514,-0.03600892014868837,-0.013296817540097518,-0.11793322794860873,-0.11804215434809023,-0.35027058081704726,-0.0559790356343746,-0.5944774726616368,-0.6484417404887615,-0.4102335672629488,-0.19047005955792287,-0.17538030358312107,-0.08915336703782037,0.6276414241370672,0.3711088053042148,-0.37110880530421503,-0.24683557932819486,-0.5541235409886105,-0.17271275478813805,-0.10595007810580152,-0.540261271254233,-0.47355655929973567,0.18308018221442882,0.004249910050662535,-0.11828707666478078,-0.08464815037099493,-0.2613201514351458,0.4566906131441564,-0.14034410252321614,-0.2863373813994244,-0.3164013454782592,-0.20051363811281142,0.2238723494846198,0.17709685052025737,0.23535576699559027,-0.16622674319744268,-0.06156979445661308,0.3869140853289944,-0.09122536613393728,-0.057225664748109334,-0.17783452295171664,0.14101126989733243,0.3072845045611375,-0.5264370130531288,-0.10288883923943036,-0.4990766212489144,-0.3446096423778003,1.0,0.2919651364181025,0.24486445815827193,-0.13394224184132447,0.282074758582376,0.1937345649568251,0.05406911015041251,0.14101126989733237,-0.5264370130531292,-0.5567930941965208,0.3086058966245783,0.08527328551757153,-0.1633305408851616,-0.6242993144968865,0.16165740233212364,0.6525675086570175,-0.6036996101448552,-0.11880360736476485,0.08456462992862449,0.4412077774584467,0.6105011771218067,-0.5251848415229434,-0.0014835262110013498,0.029278799733844573,,-0.23760169058702835
 Current Asset Turnover Rate,0.06372609234321322,-0.05218760790176433,-0.09171114112287453,-0.06434164354992034,0.04597409713877183,0.04658801498640233,0.00033325693692050253,-0.05749340746388326,-0.06174999862257066,-0.07110007772657947,-0.024506767640260628,0.06169698392688247,-0.038344217008873034,0.036700631790739305,-0.18650161819627242,-0.05744468449230576,-0.20410534848078243,-0.20410534848078243,-0.20400189555947398,-0.03754418148203098,0.2404532850583368,0.285983745903165,0.06873959639245213,-0.042171642724761045,-0.16913628832557448,0.054280738071263,-0.06592621596476085,-0.06531464507863649,-0.09099986357812818,-0.16963234169447386,-0.1123313303614973,-0.06348315250086221,0.11237429991312202,-0.21762655716298157,-0.21961779215341853,0.16383032978253037,0.16380455195102664,0.21455913312380678,-0.21455913312380653,-0.20014552234432467,-0.05790298018235682,0.0037685819442304217,0.06861392961425135,-0.04428312227072523,0.03837082508462596,0.27148037492300053,0.17576477592991302,-0.28474581783969444,-0.13894596225166334,-0.12333919261470204,0.3331933311355477,0.05443035074696489,-0.059196093265263504,-0.15314294846794377,-0.2164991716268677,-0.05477610808526536,-0.001403472064986005,-0.21650354448512382,-0.24112718662775454,-0.08413491329818898,0.23454895081774446,0.008204531365613388,0.006381893064003389,-0.0753716021331817,0.050464410008593565,-0.06218343553053893,-0.043422462709389646,-0.005834448065484651,-0.15642132385407467,-0.14075134121774238,0.2919651364181025,1.0,0.09589009071547427,-0.18185402842225643,-0.16076693485369195,-0.029273839958606097,0.18399815531185992,0.05046441000859355,-0.04342246270938974,-0.08928857859799486,-0.06750620099639149,-0.12998132732556275,0.19829354259506152,-0.14699569102351004,0.14411017755966019,0.12452167711406356,-0.0966527624545877,0.022119775612432002,-0.01064175260512775,0.045953136519486106,0.12655853486497792,-0.060671134925682546,0.01596891953453502,0.1118310227998587,,-0.28606817540639173
